"","final","sprinkles","bike"
"599","No","No","Yes"
"600","Yes","No","Yes"
"601","No","No","Yes"
"602","No","No","No"
"603","No","No","Yes"
"604","No","Yes","No"
"605","No","No","Yes"
"606","No","Yes","No"
"607","No","No","No"
"608","No","No","No"
"609","No","Yes","Yes"
"610","No","Yes","Yes"
"611","Yes","No","Yes"
"612","Yes","No","Yes"
"613","Yes","No","No"
"614","No","Yes","Yes"
"615","No","Yes","Yes"
"616","Yes","No","No"
"617","No","No","No"
"618","No","No","Yes"
"619","No","Yes","No"
"620","No","No","No"
"621","No","No","Yes"
"622","No","Yes","No"
"623","No","Yes","Yes"
"624","Yes","Yes","Yes"
"625","No","Yes","No"
"626","No","No","Yes"
"627","No","No","Yes"
"628","No","Yes","Yes"
"629","No","No","Yes"
"630","Yes","No","Yes"
"631","Yes","Yes","No"
"632","No","No","Yes"
"633","No","Yes","Yes"
"634","No","No","No"
"635","No","No","Yes"
"636","No","No","No"
"637","No","No","Yes"
"638","No","No","Yes"
"639","No","No","No"
"640","No","No","No"
"641","No","Yes","Yes"
"642","Yes","No","No"
"643","No","Yes","Yes"
"644","No","No","No"
"645","No","No","No"
"646","Yes","No","Yes"
"647","Yes","No","Yes"
"648","No","Yes","Yes"
"649","No","No","No"
"650","No","No","Yes"
"651","No","No","Yes"
"652","No","Yes","No"
"653","No","No","Yes"
"654","No","No","No"
"655","No","Yes","Yes"
"656","No","No","No"
"657","No","No","No"
"658","No","No","Yes"
"659","No","No","No"
"660","No","No","Yes"
"661","No","No","Yes"
"662","No","No","Yes"
"663","No","No","No"
"664","No","No","No"
"665","Yes","No","Yes"
"666","Yes","No","Yes"
"667","No","Yes","No"
"668","No","Yes","Yes"
"669","No","No","No"
"670","No","No","No"
"671","No","No","No"
"672","No","No","Yes"
"673","No","Yes","Yes"
"674","No","No","No"
"675","No","No","No"
"676","No","No","Yes"
"677","No","No","No"
"678","No","No","No"
"679","No","No","Yes"
"680","No","Yes","Yes"
"681","Yes","Yes","Yes"
"682","No","No","No"
"683","Yes","Yes","Yes"
"684","Yes","No","No"
"685","No","No","No"
"686","No","No","No"
"687","No","No","Yes"
"688","Yes","No","No"
"689","No","No","Yes"
"690","No","Yes","Yes"
"691","No","No","No"
"692","No","Yes","No"
"693","No","No","No"
"694","No","No","Yes"
"695","No","No","Yes"
"696","No","No","Yes"
"697","No","No","Yes"
"698","Yes","No","No"
"699","No","No","No"
"700","No","No","No"
"701","No","Yes","Yes"
"702","Yes","No","No"
"703","Yes","No","Yes"
"704","No","No","Yes"
"705","No","No","Yes"
"706","No","No","No"
"707","Yes","No","Yes"
"708","No","No","Yes"
"709","No","Yes","No"
"710","No","No","Yes"
"711","No","No","No"
"712","No","Yes","Yes"
"713","No","No","No"
"714","Yes","No","No"
"715","No","No","Yes"
"716","No","No","No"
"717","No","No","Yes"
"718","No","No","No"
"719","Yes","No","Yes"
"720","No","Yes","No"
"721","No","No","No"
"722","No","No","Yes"
"723","No","Yes","No"
"724","No","No","No"
"725","No","No","Yes"
"726","No","Yes","Yes"
"727","No","No","Yes"
"728","No","Yes","No"
"729","No","Yes","No"
"730","Yes","No","No"
"731","No","No","No"
"732","No","No","No"
"733","No","No","Yes"
"734","No","No","Yes"
"735","Yes","Yes","Yes"
"736","Yes","No","No"
"737","No","No","No"
"738","No","No","Yes"
"739","No","No","Yes"
"740","No","Yes","Yes"
"741","No","No","Yes"
"742","No","No","Yes"
"743","No","No","No"
"744","No","No","No"
"745","No","No","Yes"
"746","Yes","No","Yes"
"747","No","Yes","No"
"748","No","No","No"
"749","No","No","Yes"
"750","No","No","Yes"
"751","No","No","Yes"
"752","No","No","No"
"753","Yes","No","No"
"754","Yes","No","Yes"
"755","Yes","No","No"
"756","No","No","Yes"
"757","No","No","No"
"758","No","No","Yes"
"759","No","No","Yes"
"760","No","No","Yes"
"761","Yes","No","Yes"
"762","Yes","No","No"
"763","No","Yes","No"
"764","Yes","No","Yes"
"765","No","No","No"
"766","No","No","No"
"767","No","No","Yes"
"768","No","No","No"
"769","No","Yes","Yes"
"770","Yes","No","Yes"
"771","No","No","No"
"772","No","No","No"
"773","No","No","Yes"
"774","No","No","Yes"
"775","No","Yes","No"
"776","No","Yes","Yes"
"777","No","No","Yes"
"778","No","No","Yes"
"779","No","No","Yes"
"780","Yes","No","Yes"
"781","No","No","Yes"
"782","No","Yes","No"
"783","No","No","No"
"784","No","No","Yes"
"785","No","No","No"
"786","No","No","Yes"
"787","No","Yes","No"
"788","No","No","Yes"
"789","No","Yes","No"
"790","No","No","Yes"
"791","Yes","No","No"
"792","Yes","No","No"
"793","No","No","Yes"
"794","Yes","No","No"
"795","No","No","Yes"
"796","No","Yes","No"
"797","No","No","No"
"798","No","No","No"
"799","Yes","No","No"
"800","No","No","No"
"801","No","No","No"
"802","Yes","No","Yes"
"803","No","Yes","Yes"
"804","Yes","No","No"
"805","Yes","No","Yes"
"806","No","No","Yes"
"807","No","No","No"
"808","No","No","Yes"
"809","Yes","Yes","Yes"
"810","No","No","No"
"811","No","No","Yes"
"812","Yes","No","Yes"
"813","Yes","Yes","No"
"814","No","No","Yes"
"815","No","No","Yes"
"816","Yes","No","Yes"
"817","No","No","No"
"818","No","No","Yes"
"819","Yes","No","Yes"
"820","No","No","No"
"821","No","No","Yes"
"822","Yes","Yes","Yes"
"823","No","No","No"
"824","Yes","No","No"
"825","No","No","No"
"826","Yes","No","No"
"827","No","No","Yes"
"828","No","No","Yes"
"829","No","No","No"
"830","Yes","No","Yes"
"831","No","No","No"
"832","No","Yes","Yes"
"833","No","No","No"
"834","Yes","No","Yes"
"835","Yes","No","No"
"836","Yes","No","No"
"837","No","Yes","No"
"838","No","No","No"
"839","No","Yes","No"
"840","No","No","Yes"
"841","Yes","No","Yes"
"842","No","No","Yes"
"843","No","Yes","Yes"
"844","Yes","No","No"
"845","No","No","Yes"
"846","No","No","Yes"
"847","No","Yes","Yes"
"848","Yes","No","No"
"849","No","No","No"
"850","No","No","Yes"
"851","No","No","Yes"
"852","No","Yes","Yes"
"853","No","Yes","Yes"
"854","No","No","No"
"855","No","Yes","No"
"856","No","No","Yes"
"857","No","No","No"
"858","No","No","No"
"859","No","Yes","No"
"860","No","No","No"
"861","No","No","No"
"862","No","No","Yes"
"863","No","Yes","Yes"
"864","No","Yes","No"
"865","No","No","Yes"
"866","No","No","Yes"
"867","No","No","Yes"
"868","No","No","Yes"
"869","No","No","Yes"
"870","No","Yes","Yes"
"871","Yes","No","No"
"872","No","No","No"
"873","Yes","No","No"
"874","No","No","Yes"
"875","No","Yes","No"
"876","No","No","Yes"
"877","No","No","No"
"878","No","Yes","Yes"
"879","No","No","Yes"
"880","No","No","Yes"
"881","No","Yes","No"
"882","No","No","Yes"
"883","Yes","No","No"
"884","No","Yes","No"
"885","No","No","No"
"886","No","No","Yes"
"887","No","No","Yes"
"888","No","No","No"
"889","No","No","Yes"
"890","No","No","Yes"
"891","Yes","No","Yes"
"892","No","No","Yes"
"893","No","No","No"
"894","No","No","No"
"895","No","Yes","Yes"
"896","No","No","No"
"897","No","No","Yes"
"898","No","No","Yes"
"899","No","No","No"
"900","No","No","Yes"
"901","Yes","No","Yes"
"902","Yes","No","No"
"903","Yes","No","No"
"904","No","No","No"
"905","No","No","Yes"
"906","No","Yes","No"
"907","No","No","Yes"
"908","No","No","No"
"909","Yes","Yes","Yes"
"910","No","No","No"
"911","No","No","No"
"912","No","No","No"
"913","Yes","No","No"
"914","Yes","No","Yes"
"915","No","No","Yes"
"916","No","No","Yes"
"917","No","No","Yes"
"918","Yes","Yes","Yes"
"919","No","No","Yes"
"920","Yes","No","No"
"921","No","No","No"
"922","No","No","Yes"
"923","No","No","Yes"
"924","No","No","No"
"925","No","Yes","Yes"
"926","No","No","No"
"927","No","Yes","No"
"928","No","Yes","Yes"
"929","No","No","No"
"930","No","No","No"
"931","No","No","Yes"
"932","Yes","No","Yes"
"933","No","No","Yes"
"934","No","No","Yes"
"935","No","No","No"
"936","No","Yes","Yes"
"937","No","No","No"
"938","Yes","No","No"
"939","No","No","Yes"
"940","Yes","No","No"
"941","No","No","Yes"
"942","No","Yes","No"
"943","No","No","No"
"944","No","No","No"
"945","No","Yes","Yes"
"946","Yes","Yes","Yes"
"947","No","Yes","No"
"948","Yes","No","Yes"
"949","No","No","No"
"950","No","No","No"
"951","Yes","No","No"
"952","No","No","Yes"
"953","Yes","No","No"
"954","No","No","Yes"
"955","No","No","No"
"956","No","No","Yes"
"957","No","Yes","Yes"
"958","No","No","Yes"
"959","No","No","Yes"
"960","No","Yes","Yes"
"961","No","No","No"
"962","No","No","Yes"
"963","No","No","No"
"964","No","No","Yes"
"965","Yes","No","No"
